,stimulus,Green,Cucumber,Herbal,Mint,Woody,Pine,Floral,Powdery,Fruity,Citrus,Tropical,Berry,Peach,Sweet,Caramellic,Vanilla,BrownSpice,Smoky,Burnt,Roasted,Grainy,Meaty,Nutty,Fatty,Coconut,Waxy,Dairy,Buttery,Cheesy,Sour,Fermented,Sulfurous,Garlic.Onion,Earthy,Mushroom,Musty,Ammonia,Fishy,Fecal,Rotten.Decay,Rubber,Phenolic,Animal,Medicinal,Cooling,Sharp,Chlorine,Alcoholic,Plastic,Ozone,Metallic
0,AA034,0.6788525998592376,0.9525062203407287,0.9648285150527954,0.17548235058784484,0.15421716272830963,0.2579182509332895,0.9152771949768066,0.3654091238975525,0.4553315579891205,0.5787026107311248,0.47243175506591795,0.49507001638412473,0.22584146112203599,0.46497055888175964,0.10335595607757568,0.08692759275436401,0.2512467950582504,0.5694177687168122,0.4844600945711136,0.2762958433479071,0.2008029617369175,0.3583152562379837,0.17357318326830865,0.16888132691383362,0.06489631533622742,0.16002860963344573,0.30288529992103574,0.09807812869548797,0.26334238797426224,0.11216048896312714,0.2768171548843384,0.5494223415851593,2.4460175037384033,0.15563518553972244,0.08823438882827758,0.2127629518508911,0.2077728807926178,0.13269475102424622,0.17993033900856972,0.0376728817820549,0.28040120005607605,0.1291593551635742,0.3083238422870636,0.16826884150505067,0.44612919688224795,0.09155235141515732,0.036129158735275266,0.044906947016716006,0.12339808642864228,0.14563484638929367,0.11598061621189118
1,AA160,0.27054275274276735,0.017221333086490632,0.33395137190818786,0.19247088730335235,0.37391477823257446,0.1051438644528389,0.004571851342916489,0.1446154683828354,0.002807419002056122,0.06330655962228775,0.03919461453333497,0.0,0.03912496343255043,0.3322927266359329,0.07742899209260941,0.1575356513261795,0.03508799374103546,0.2635853111743927,0.147372112236917,0.2542397230863571,0.13814745657145977,0.36011545062065126,0.09778378754854203,0.13768308907747268,0.08286467157304286,0.3050778955221176,0.5726830005645752,0.18485116213560104,0.7949629426002502,0.6226876735687256,0.29254412055015566,0.3352737218141556,0.40242321193218233,0.28582843542099,0.1010025605559349,0.6986627459526062,0.07928516119718551,0.26605692207813264,0.16573893427848815,0.8168152093887329,0.20861199200153352,0.1588635377585888,0.12375176399946212,0.11487312614917755,0.11116216853260993,0.17513325810432434,0.08327679187059403,0.0527563601732254,0.23408515900373458,0.0687920894473791,0.09049596190452576
2,AA232,0.21994929611682892,0.047905728220939636,0.13551868945360185,0.0070995822548866275,0.12828054651618004,0.12275724411010742,0.6125221908092499,0.4466574192047119,0.11649208292365074,0.056167959421873095,0.0383992038667202,0.05253525637090206,0.0755948718637228,0.5320400476455689,0.09562975466251374,0.12461460828781128,0.13892512395977974,0.2975046157836914,0.48907777667045593,0.6246410846710205,0.5115334808826446,0.22174764424562454,0.36742697060108187,0.28670596778392793,0.09529713690280914,0.2042650818824768,0.21760381311178206,0.10032960474491119,0.1676399901509285,0.15200139880180358,0.05591711029410362,0.3473059371113777,0.701929634809494,0.2980920970439911,0.19133549332618713,0.3052586555480957,0.2420228272676468,0.18414948731660843,0.08656316660344601,0.19693781659007073,0.20780233889818192,0.1931343749165535,0.3588802725076675,0.22875989675521852,0.0905897043645382,0.1128744974732399,0.14813123047351837,0.1741485334932804,0.2085261285305023,0.1082653522491455,0.027621547877788543
3,AA379,0.3742721021175385,0.10977602899074554,0.4266242146492004,0.23925252109766007,0.423699414730072,0.25595676302909853,0.8811784267425538,0.704803717136383,0.2813649237155914,0.13293322697281837,0.1311962425708771,0.048678820766508576,0.11566750407218933,0.8508732676506042,0.13379112184047698,0.21245328933000565,0.2120499074459076,0.23800686597824097,0.1232960693538189,0.04611704498529434,0.05305248126387596,0.05381491258740425,0.0858488991856575,0.07623924575746059,0.08116203844547272,0.3156556636095047,0.13452889919281005,0.0970909595489502,0.12485783994197845,0.09509552270174026,0.018212053179740905,0.0782688781619072,0.20217309147119522,0.21101042926311492,0.10843585282564164,0.5216388404369354,0.14247436374425887,0.04817045629024506,0.012713194452226162,0.06370336413383484,0.2990048825740814,0.2728998601436615,0.06368343532085419,0.4135010063648224,0.3685473412275314,0.1653381794691086,0.22692267298698426,0.3041350692510605,0.3773901104927063,0.21403907090425492,0.10002715289592742
4,AA387,0.03937755227088928,0.064986352622509,0.13578807711601257,3.3765092849731446,0.050026807188987735,0.12714349031448363,0.2020322486758232,0.46217008829116824,0.26626387536525725,0.19728745371103287,0.0880112186074257,0.18585102260112762,0.07269596010446548,1.3584372282028199,0.13460279628634453,0.32468878030776976,0.09310128465294838,0.1666461408138275,0.1641918569803238,0.061238619312644,0.0,0.25283990800380707,0.030955394357442857,0.16543840765953063,0.06789852827787399,0.06236133351922035,0.3765322208404541,0.09285665564239025,0.4361183702945709,0.1797676920890808,0.1793083816766739,0.3270893782377243,0.7398411273956299,0.10045751333236694,0.08051556199789048,0.12400248125195504,0.12718441262841224,0.18328824043273925,0.17422519028186798,0.673831558227539,0.25681758522987364,0.062030446529388425,0.06019623279571533,0.2943907380104065,1.3140040397644044,0.23391785174608232,0.04905160218477249,0.08028416112065315,0.1067974552512169,0.13447018414735795,0.09394194185733795
5,AA420,0.5853495538234711,1.7826074361801147,0.3266599357128143,0.28412716686725614,0.3141263842582703,0.25738205313682555,0.803572130203247,0.5431581497192383,0.39226311445236206,0.34453740119934084,0.27514753937721254,0.17159357368946077,0.11771694868803025,0.7622409105300904,0.03749999478459358,0.13001225925982,0.1405501812696457,0.06385038681328296,0.13259669989347458,0.08551181219518185,0.17192175686359407,0.007597749680280685,0.11443492770195007,0.041679127514362334,0.08391364514827729,0.1513733871281147,0.13645258098840712,0.023073021322488785,0.05954624265432358,0.09471904635429382,0.0215570867061615,0.0468363918364048,0.08337394427508116,0.0418784499168396,0.03246497102081776,0.15884317830204964,0.023597874492406846,0.031234153360128403,0.032251734659075736,0.0008370235562324523,0.0983873374760151,0.1577984109520912,0.08304831981658936,0.19965652003884315,0.45659520030021666,0.17699250280857087,0.08797848373651504,0.2489748015999794,0.2917186081409454,0.20959124714136124,0.04919375330209732
6,AA495,0.11650979965925216,0.056398051977157596,0.20475599616765977,0.16377248018980026,0.31808418184518816,0.0679215133190155,0.3029786258935928,0.382380411028862,0.365247905254364,0.04597521871328354,0.042764270305633546,0.08867623507976533,0.36096991077065466,1.1799673557281494,0.7500932812690735,0.35111433565616607,0.13879546597599984,0.2043045163154602,0.23373166024684905,1.135844600200653,1.332971954345703,0.06552796587347984,1.0121861815452575,0.6178358972072602,0.3001575171947479,1.068908965587616,0.3885371148586273,0.7700932443141937,0.331180103123188,0.025629422068595885,0.032204937934875486,0.07459678053855896,0.09668629243969917,0.19051718562841416,0.27778495848178864,0.21103961914777755,0.07449760437011718,0.03131592869758606,0.04879370369017124,0.0603237085044384,0.1248994767665863,0.1218401238322258,0.16516517996788024,0.04112832546234131,0.13307850956916809,0.005734597146511078,0.05313751325011253,0.14298489391803743,0.18304550275206566,0.1045889675617218,0.01772675383836031
7,AA592,0.2145715042948723,0.08859822750091553,0.12450809478759765,0.08494301289319992,0.11601488143205643,0.11338431537151336,1.1946221828460692,0.7860962748527527,0.32806575298309326,0.17620870769023894,0.12735182791948318,0.1515245582908392,0.17977800518274306,0.7550088763237,0.1011964302510023,0.15826351195573807,0.02769404649734497,0.034388326480984686,0.16688565239310266,0.16606596074998378,0.11521505601704121,0.06884486973285675,0.18945559859275818,0.33020845651626585,0.12431585565209388,0.3667831212282181,0.5417691528797149,0.30685563385486603,0.578781533241272,0.2797285787761211,0.11268077492713928,0.29728671014308927,0.5078988313674927,0.21737103164196014,0.1737906217575073,0.25648328810930254,0.1381429463624954,0.1936693236231804,0.09399065226316453,0.3806520730257034,0.022574765235185625,0.19347068965435027,0.1618402011692524,0.3000730037689209,0.1609541691839695,0.1759397268295288,0.06312097981572151,0.20184745341539384,0.19622679948806762,0.029739883542060853,0.019385427981615067
8,AB036,0.15219327062368393,0.19959685504436492,0.4132547080516815,0.35483974814414976,0.2581161841750145,0.19250701367855072,0.7292428314685822,0.6213614344596863,0.7496859431266785,0.22713254392147064,0.087388776242733,0.27284478545188906,0.46288339495658876,1.743407416343689,0.8143299400806427,0.5035898461937904,0.14653164148330688,0.033837588131427766,0.03790318444371223,0.24987439215183258,0.25894858241081237,0.002442659065127373,0.4352648854255676,0.5096899747848511,0.42095649540424346,1.4267995953559875,0.4756411910057068,1.1366450607776641,0.6640681028366089,0.16709861159324646,0.0715585470199585,0.17022413834929467,0.16223118603229522,0.24001289457082747,0.24732112288475036,0.1989017680287361,0.21549032330513002,0.09396126121282578,0.0,0.16720362156629562,0.08587769269943238,0.24025152921676635,0.11334114894270897,1.0518216431140899,0.9056565284729003,0.13464169353246688,0.11717301160097122,0.2775582164525986,0.23525309488177298,0.25927605032920836,0.026232585310935974
9,AB193,0.20940323770046235,0.06913143955171108,0.08737223595380783,0.13434499353170395,0.164740914106369,0.10177833437919617,1.0098166584968566,0.6522449851036072,0.306208336353302,0.15088891834020615,0.12618709728121758,0.13700673021376134,0.1452937453985214,0.6927829623222351,0.04977659471333027,0.15277084559202195,0.02357013672590256,0.04352300390601158,0.08921982645988465,0.16487076580524446,0.07906992211937905,0.08183038756251335,0.07896095737814904,0.13593293279409407,0.1706549420952797,0.29139536917209624,0.5707018077373505,0.23469339609146117,0.6095188617706299,0.4369070649147034,0.2421308010816574,0.2691835053265095,0.4553503096103668,0.17964452728629113,0.11895121186971665,0.38476547598838806,0.13078615069389343,0.13945406228303908,0.1096114644780755,0.5700358986854553,0.05825587958097458,0.1713435634970665,0.1953044578433037,0.19687797799706458,0.14900977164506912,0.2274704709649086,0.050197999179363254,0.2158486872911453,0.21096814274787903,0.02277799993753433,0.04598933272063732
